sku,quantity,updated_timestamp,processing_timestamp
402989803787501,26,2024-03-07T19:27:56.802952,2024-02-29T19:27:56.809050
404273656385451,539,2024-03-08T19:27:56.802967,2024-03-09T19:27:56.809054
401502677161258,501,2024-03-04T19:27:56.802970,2024-03-02T19:27:56.809058
402231140467550,369,2024-03-25T19:27:56.802972,2024-03-25T19:27:56.809061
404482135138781,698,2024-03-27T19:27:56.802973,2024-03-08T19:27:56.809064
405748285228659,59,2024-03-01T19:27:56.802976,2024-03-05T19:27:56.809068
403692232316379,136,2024-03-07T19:27:56.802978,2024-03-08T19:27:56.809072
400749619739235,539,2024-03-19T19:27:56.802981,2024-03-24T19:27:56.809076
403833513888940,132,2024-03-27T19:27:56.802983,2024-03-20T19:27:56.809078
401214751288625,631,2024-03-12T19:27:56.802986,2024-03-10T19:27:56.809081
403769846140326,601,2024-03-13T19:27:56.802987,2024-03-02T19:27:56.809083
403225936157567,704,2024-03-11T19:27:56.802989,2024-03-02T19:27:56.809084
402934841063976,672,2024-02-28T19:27:56.802991,2024-03-20T19:27:56.809086
401246686778879,564,2024-03-17T19:27:56.802994,2024-02-27T19:27:56.809087
405383682016844,154,2024-03-24T19:27:56.802995,2024-03-09T19:27:56.809089
402828958414037,479,2024-03-09T19:27:56.802997,2024-03-13T19:27:56.809091
404540516537170,225,2024-03-01T19:27:56.802999,2024-03-18T19:27:56.809092
404496326818999,385,2024-02-29T19:27:56.803001,2024-03-10T19:27:56.809095
400889565837411,263,2024-03-17T19:27:56.803003,2024-03-01T19:27:56.809096
403843790633922,500,2024-03-01T19:27:56.803004,2024-03-06T19:27:56.809098
404121306577112,296,2024-02-28T19:27:56.803006,2024-03-04T19:27:56.809099
400461042335394,106,2024-03-04T19:27:56.803008,2024-03-12T19:27:56.809101
404619670843782,79,2024-03-16T19:27:56.803010,2024-03-04T19:27:56.809103
403658532340137,960,2024-03-09T19:27:56.803011,2024-03-24T19:27:56.809104
403670604886278,21,2024-03-07T19:27:56.803013,2024-03-06T19:27:56.809106
401131173659141,92,2024-03-25T19:27:56.803015,2024-03-04T19:27:56.809108
402824024171003,946,2024-02-27T19:27:56.803017,2024-03-14T19:27:56.809110
405571519613321,863,2024-02-29T19:27:56.803019,2024-03-19T19:27:56.809111
405064420570441,93,2024-03-26T19:27:56.803020,2024-03-03T19:27:56.809113
403803501131045,884,2024-03-14T19:27:56.803022,2024-03-24T19:27:56.809117
402668513514727,959,2024-03-03T19:27:56.803024,2024-03-06T19:27:56.809120
401719152755617,474,2024-03-13T19:27:56.803025,2024-02-27T19:27:56.809123
402430384211288,496,2024-03-19T19:27:56.803027,2024-03-16T19:27:56.809126
405673533228908,246,2024-03-18T19:27:56.803029,2024-03-14T19:27:56.809130
400904788770940,240,2024-03-15T19:27:56.803031,2024-03-22T19:27:56.809133
405560824075280,985,2024-03-14T19:27:56.803032,2024-03-20T19:27:56.809136
401781657945029,734,2024-03-11T19:27:56.803034,2024-03-19T19:27:56.809139
403383797199577,71,2024-02-27T19:27:56.803036,2024-02-29T19:27:56.809141
405785907382768,242,2024-03-17T19:27:56.803038,2024-03-05T19:27:56.809144
404794180267932,950,2024-03-15T19:27:56.803039,2024-03-19T19:27:56.809148
401043664753639,608,2024-03-20T19:27:56.803041,2024-03-10T19:27:56.809151
402566926057388,551,2024-02-28T19:27:56.803043,2024-03-26T19:27:56.809155
400745320699283,970,2024-03-06T19:27:56.803045,2024-03-15T19:27:56.809158
404134965267779,155,2024-03-15T19:27:56.803046,2024-03-05T19:27:56.809161
402988615104756,239,2024-02-29T19:27:56.803048,2024-03-20T19:27:56.809164
402714154299118,281,2024-03-25T19:27:56.803050,2024-03-03T19:27:56.809168
